,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
5,1.025977512,1.017063561,1.508322227,1.245733984,1,1.173106072,1.007318564,1.074001483,1,1.136983729,1.194327907,1.203917794,1.274596386,1.115178389,1.332926641,1.179555521,1.152662779,1.037004725,1.138113109,1.206304554,1.423184701,1.193627059,1.05721173,1.029615804,1.218135095,1.080748338,1.240795102,1.618934519,1,1.232543865,1.183675281,1.280316288,1.261207733,1.29109099,1.317393168,1.370076947,1.491458126,1.000673342,1.10663387,1.145526695,1.135069146,1.167740299,1.170137062,1.201824003,1.085972748,1.009714932,1.05173978,1.107549048,1.064479388,1.144083315,1.461853559,1.46910209,1.314449655,1.132819684,1.556740887,1.144404977,1.137365963,1.198631172,1.244945561,1.198174601,1.002656321,1.230385062,1.278129347,1.213392597,1.122185173,1.051795299,1.302979287,1.159398462,1.104055411,1.128285151,1.128777168,1.395625805,1.370017641,1,1.291034256,1.122809626,1.380793148,1.3300378,1.072338905,1.037650711,1.042116525,1.157564911,1.066498961,1.043067675,1.104216214,1.022945413,1.18406836,1.264140053,1.101188654,1.373031719
10,1.062105409,1.200878069,1.283651628,1.305084889,1.244854559,1.364458737,1.20836604,1.019419722,1.143946758,1.111554202,1.117016213,1.164450121,1.214186011,1.475426474,1.147045121,1.233755358,1.313291717,1.281396767,1.083426686,1.144529218,1.044207953,1.31666865,1.057332116,1.287221852,1.238778092,1.008330519,1.528200257,1.017150446,1.29011188,1.187761408,1.20919239,1.296248029,1.274835456,1,1.396358293,1.757685365,1.091720299,1.155440946,1.141025069,1.199388924,1.069493085,1.183580616,1.101342855,1.355915666,1.190779612,1.382346838,1.142097242,1.05535015,1.115506122,1.126289908,1.080999213,1.731443869,1.232849492,1.390090382,1.031555444,1.4945338,1.169765534,1.071783369,1.196456383,1.173127243,1.24669283,1.150020051,1.361270738,1.273435842,1.119777127,1.077882288,1.168426049,1.289849952,1.116236793,1.291562924,1,1.267295797,1.183705672,1.118388962,1.301356809,1.024048947,1.193550498,1.108515752,1.110468141,1.118650344,1.083177717,1.073951332,1.314385631,1.097276652,1.225358128,1,1.280486695,1.307994221,1.271810051,1.193464927
15,1.108519943,1.18734155,1.142224206,1.100380373,1.443251561,1,1.371471916,1.300948867,1.33928811,1.130745873,1,1.133290032,1,1.098425555,1.206057675,1.210092132,1.409426672,1.201869959,1.372323212,1.112430451,1.241315067,1.055057542,1.139097447,1.280479627,1.346229706,1.446859249,1.175512486,1.16128207,1,1.114939592,1.261402716,1.1909688,1.133529378,1,1.131076528,1.160829308,1.229054633,1.237315693,1.154098266,1.262024163,1.170094052,1.250090337,1.027774716,1.252473711,1.106312755,1.34314053,1.137715198,1.210142708,1.23194946,1.333206851,1.592904574,1.191274278,1.216435543,1.301409759,1.228610304,1.119549649,1.048234505,1.258935133,1.212715176,1.044252084,1.056843697,1.229876728,1.236600953,1.534689802,1.067639152,1,1.379696977,1.194370439,1.526140099,1.651346401,1,1.351271735,1.117761359,1.123874282,1.625990285,1.129372893,1.434714918,1.180397726,1.126788555,1.262470947,1.155821374,1.17758198,1.272518231,1.651512193,1.228583772,1.303472359,1.214131025,1.027899432,1,1.226603086
20,1.228106196,1.114974754,1.031083957,1.179272014,1.381358205,1.263992116,1.085588217,1.31452732,1.158794921,1.444379309,1.133217622,1.256595083,1.237459273,1.3857143,1.3180817,1.518714317,1.246338674,1.409154512,1.432797777,1.099405568,1.102479683,1.057774211,1.091531792,1.40656347,1.1548597,1.124555152,1.060685025,1.223996752,1.293803917,1.311085888,1.100515452,1.209353268,1.321056655,1.26539032,1.140724374,1.101876018,1.044041681,1.428560005,1.063489531,1.217149205,1.184251316,1.283428012,1.06783367,1.076313869,1.08874344,1.151451991,1.80608141,1.223574496,1.223245074,1.192774487,1.167803811,1.32607461,1.747851713,1.659252908,1.380956186,1.053835582,1.183018717,1.221305227,1.199348004,1.046471861,1.194075235,1.536608631,1.216069693,1.635853346,1.341970382,1.42445421,1.283201312,1.345784709,1.189442274,1.095506903,1.026639257,1,1.281497588,1.531499224,1.315260605,1.190083322,1.617440927,1.131208929,1.04426886,1.104717063,1.216642718,1.609783687,1.149904773,1.21179772,1.146239246,1.064775292,1.036707809,1.308076605,1.162570959,1.114161428
25,1.404257051,1,1.017602353,1.310179137,1.154158661,1.247256269,1,1.293561206,1.066574809,1.014808129,1.244758188,1.453679837,1.414230687,1.521359495,1.306288709,1.11255726,1.457703963,1.123281817,1.12166298,1.23618324,1.213406991,1.355273752,1.045901008,1.338793615,1.283588867,1.233059633,1.246649193,1.179896034,1.23917216,1.274023343,1.292308118,1.013673222,1.184481319,1.237112837,1.246075424,1,1.279381793,1.219435446,1.100760694,1.245848542,1.001022804,1.187468062,1.185578394,1.059998716,1.167499043,1.30465289,1,1.141411717,1.288382945,1.337037937,1.21943129,1.149428857,1.25330419,1.169923561,1.32203879,1.516686767,1.361271709,1.206134586,1.282252822,1.028521548,1.011664322,1.167678343,1.200157725,1.258156499,1.040635931,1.396269765,1.238922888,1.356049177,1.290489672,1.332497796,1.177788307,1.328575234,1.221370745,1.244827461,1.18791337,1.069414523,1.401849326,1.457580113,1.212181917,1.434826566,1.134060908,1.100440911,1.301224315,1.210953802,1.239133138,1.079170553,1.269077356,1.255209736,1.342587602,1.085510656
30,1.171741987,1.27899768,1.137448847,1.150889845,1.127431629,1.240885926,1.15835981,1.287469954,1.145057057,1.559850396,1.027699969,1.352941849,1.203135275,1.114549722,1.112858469,1.791700271,1.311346369,1.138648066,1.091901024,1.260633517,1.338426341,1.045978542,1.489660903,1.460334492,1.082359805,1.110822966,1.342962544,1.275370898,1.141078904,1,1.271179087,1.250866955,1.266568284,1.184251501,1.206780998,1.242322914,1.149914059,1.155985572,1.244504086,1.264849805,1.143647084,1.058660267,1.179490365,1.295573827,1.152630906,1.537083386,1.313554625,1.332650629,1.143497954,1.17944679,1.184264802,1.167677077,1.145991693,1.091736093,1.167004654,1.393471949,1.091077056,1.037844782,1,1.760264855,1.024457199,1.152290543,1.295927737,1.201864891,1.315066201,1.26735361,1.167793627,1.247618099,1.495596892,1.274025037,1.35064577,1,1.059517817,1.177944062,1.341884957,1.320961902,1.085923435,1.291247885,1.109127692,1.206592094,1.023556215,1.060425679,1.048957391,1.143947346,1.059382654,1.247477934,1.566917816,1.378525431,1,1.451661305
