,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
5,7.140301466,7.390659332,6.998755932,7.127854586,7.274947405,7.070403099,7.291052818,7.168124437,7.98398447,7.814899206,8.161806583,8.335331202,7.77945447,8.050040483,7.184731007,7.751071215,7.824369192,7.112465143,7.829087257,7.382640362,7.255215645,7.484911442,7.563518047,7.15522933,7.142495871,6.890036583,7.495200157,7.299025297,7.306333303,7.270916462,7.09662962,6.892926931,7.0240345,7.101176262,7.039442062,7.417308092,8.808540583,8.123972893,7.939945459,7.697798491,7.706899643,7.478687286,9.051420927,7.167962074,7.320036173,7.598647594,6.691681862,6.807898521,7.037519693,6.666296959,6.869807482,7.361936092,6.729361057,7.230282545,7.998070717,7.388800859,8.580465794,7.611546993,7.484595537,7.726450443,7.186621904,7.23856473,7.242537498,8.582686663,7.163864136,7.298806667,7.397847414,6.962233067,6.69699192,6.68409133,6.907233477,7.674156666,8.055336237,7.105217934,7.167513609,7.908839226,7.444800615,7.468717575,7.89326787,7.541006804,7.119349003,8.675330162,7.510155439,7.158647299,7.758671045,7.0212152,7.751417398,7.405224562,7.930226326,7.604475975
10,8.617167234,8.049880505,7.45655179,9.081744194,8.964147568,8.951392889,8.714782476,7.949897051,8.737320185,10.00550866,8.411203384,8.350822687,9.093997478,8.703824997,11.00509453,11.52885818,8.830405235,9.338242292,9.083746433,9.578318357,9.55388093,8.857069254,8.807918549,8.248075724,9.077039242,9.429361105,8.746109486,8.008067846,7.752521753,7.817259789,8.130075693,7.80264616,7.800063848,8.706032038,7.725422144,9.428589582,10.6574626,9.818886995,9.650452852,9.24897933,10.41796589,10.33821917,9.641184807,9.436638355,9.230664968,8.121740103,7.749884844,8.398265362,7.689081192,8.007718325,8.230149984,9.089473963,8.360412836,7.98345542,9.208603144,9.195755959,9.514128685,8.643955946,10.10802794,9.735446692,9.166514635,8.799717903,8.328403473,9.45756197,8.029887438,8.899394989,8.260598421,8.258600473,7.568207741,9.010250807,8.628063917,8.603940487,10.48040247,8.75856185,9.485689402,9.808781147,8.400685072,9.098374605,9.509215832,9.277946234,10.47657943,9.264567375,7.926502705,8.861149311,9.116497755,9.379592657,9.450237036,10.48006654,8.423778534,9.350296021
15,10.00232792,9.889775038,9.804872513,11.22586536,8.581079721,10.04915404,9.510804176,10.95566845,11.24327826,10.96278262,10.42707348,11.51976037,10.60317731,12.0602448,11.11214161,11.4905808,12.35763788,12.04419565,10.67140913,10.46391058,11.11645317,10.27860594,9.412849665,11.05828428,10.8803463,9.978845119,11.13471317,9.543938875,8.954049826,9.299455166,8.57554245,11.16622138,10.34790778,10.52137208,9.616488695,9.349231482,15.39858079,14.06440806,13.25195575,12.75907278,11.22096372,13.55762672,10.81798935,12.80818558,11.88112187,10.33540678,11.16124892,10.35227561,10.00912976,10.08982444,10.77701354,8.324662924,10.46786046,9.858365774,9.977954865,11.04667854,10.5419662,9.59796381,10.33347225,10.43163037,11.00491333,12.08155894,9.666153193,10.26502323,9.915817022,11.8701508,11.08396435,9.686375856,10.18774295,9.304502726,10.39209986,11.86461949,10.0202837,10.09963679,11.32480288,10.19096875,12.19280338,9.917519093,9.99616909,10.15680981,10.8295157,10.6146636,11.75980902,10.7727325,10.33109665,10.64934206,11.16591668,11.23289132,10.88601422,10.74748945
20,12.74863887,11.46213984,11.01813221,11.99959636,11.85181952,11.12203336,14.17236376,11.43458033,13.14748406,12.82288718,13.58162642,13.2956686,14.54321194,13.27560472,14.70926833,15.19454932,13.41201925,10.50955224,12.50451088,14.57738853,11.89229798,13.45500422,12.40504456,11.79991627,12.25185966,13.35968447,12.05346131,10.71653557,9.599090099,10.30898094,9.96724534,12.71382189,10.91264534,10.50565815,11.23844647,10.4752605,16.25262117,15.13884401,13.28988266,14.00316167,13.64909816,14.89955068,16.08831406,17.68474579,17.18328547,10.86308694,12.29086518,10.80785847,11.15851045,12.17025447,12.22035551,14.84743071,11.72462797,11.49177694,12.69802928,13.13779235,11.79410172,14.27291226,11.32777691,11.37838316,16.93753076,12.17949653,11.53873706,10.77117968,12.23216605,11.47425318,10.86439681,13.28752136,12.94240022,12.0315001,11.41266203,10.56139445,13.03046298,12.66761017,14.01818347,12.44895911,15.13420939,13.66039324,13.27127957,14.82117939,10.88596272,13.42493463,12.32581472,12.10733652,11.93270659,12.62421942,12.63750792,11.94505787,11.62609887,12.32098913
25,12.13015199,14.24379349,13.59584451,13.5762291,12.95994234,14.20989275,13.17854214,14.54669929,13.0356257,15.59744096,15.00999832,14.9436574,15.5897758,13.87632704,12.79733348,15.95170236,16.06192183,17.57454062,15.74204063,15.54336548,14.8269639,13.62961388,14.91741729,16.42820287,15.98831511,14.15028286,15.81497264,11.93076491,11.586483,11.00405288,12.00768733,11.70196414,14.39207077,12.53244472,12.8426652,12.01269102,16.83656144,15.90778542,16.78481078,15.06198883,17.72452259,14.98510528,13.10423231,17.45714951,14.53754544,13.25312877,13.20273733,14.11996937,14.50577593,11.54073381,13.49482942,13.60853291,13.28661442,11.28987074,15.40092635,14.61267161,13.95055389,13.82868743,13.70490432,14.60041118,13.59191608,17.04591441,13.71815109,14.03375363,14.64441323,13.63523507,15.00328374,11.72468495,15.60469747,15.51902151,13.64388251,12.03937912,12.29019308,13.85977674,15.76119852,15.95203447,17.95791578,16.16119218,15.94155574,15.71454048,17.77608037,13.712147,14.45596123,15.93472219,14.86678767,15.71851063,14.9463377,18.46714401,13.94531631,15.42801666
30,17.2334106,15.97577691,16.04498911,14.831038,16.33501101,15.37672377,14.49112368,12.96510577,16.54332638,20.24576902,16.20045114,18.21147108,17.03866172,16.51817656,18.38762426,15.02761126,15.29336262,19.34349275,17.74829888,20.5570457,14.75822878,18.92871666,14.71833444,18.59694409,16.28777194,19.63007855,18.3347888,12.71029115,13.88442302,14.83522153,13.3669734,13.10633898,14.33838081,14.1500237,11.84118414,12.42054987,18.52840829,16.89657497,17.37859416,19.37289166,19.82222104,20.27240896,22.71058178,17.98403859,21.05514765,14.75468564,16.10490274,13.23747516,13.60456419,17.22777748,13.23201537,15.43727589,13.98328424,15.44419646,13.92529655,16.63972521,14.83378386,18.39105105,14.4837172,14.82275271,16.71463323,14.42203951,15.00715613,19.40715504,14.29389238,13.70694089,13.73015165,14.99751997,12.79413724,13.89810967,17.46473694,14.88492513,18.71063781,20.41259956,16.96794915,19.74232817,16.22210407,16.7848978,17.69585085,17.15342331,17.18793964,14.95645404,16.6552546,15.34411335,14.28573203,14.45546913,15.97936964,16.67570758,16.54664397,14.47397542
