,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
2,1,1.707308931,1.34423308,1.184556535,1.496312118,1.347504593,1.186376886,1.050914551,1.128871963,1.20207579,1,1,1,1,1,1.367744612,1.001699045,1.518402858,1.424397636,1.061975262,1.009865572,1.119119442,1.044883158,1.059821065,1.193168312,1,1.355143474,1.370077294,1.300960001,1.2885826,1.279860887,1.142460077,1.311411723,1.365654044,1,1.143741648,1,1.261642476,1,1,1,1,1,1,1.084639159,1.182718134,1.206440621,1.371027897,1.293046114,1.456260941,1.649181783,1.174817062,1.3596424,1.19974763,1,1.02842351,1.80384566,1.127107699,1.149315577,1.331314914,1,1.116218186,1.042163652,1.467509999,1.204013228,1,1.112389881,1.197523634,1,1.234749054,1.175780716,1.57296877,1,1.097856138,1.429950199,1.000082373,1.280031986,1.197312235,1.067142948,1.404378861,1.058303623,1.213735851,1.311964868,1.118131243,1,1.270211134,1,1.246469583,1.125127103,1.262042996
3,1,1.150326861,1.091477982,1,1.34816497,1.081349848,1.2200992,1.218175699,1.117372968,1.039302245,1.512342166,1,1.004111981,1.12970706,1.079049782,1,1.603920587,1,1,1,1.417835633,1.379059157,1.084641496,1.243742151,1.085878746,1.07768811,1.427900239,1.324459873,1.209422272,1.188279065,1.065833299,1.825190859,1.327764327,1.058812385,1,1,1.100845391,1,1,1,1.198486621,1,1,1,1.130340096,1,1,1.268814318,1.037991025,1.150108499,1.023933744,1.004215732,1.292004314,1.231987896,1,1.188985487,1.079530054,1,1.081730965,1.131552712,1.345599331,1.180839077,1,1.377779604,1.297159673,1.050140546,1.228458393,1.400793513,1.376732693,1,1.196347834,1.558484694,1.063424557,1.469874181,1,1.218732004,1.140676689,1.033349917,1,1.133042795,1.282070611,1.173978991,1.18145,1.043975341,1.268346797,1.343808597,1,1.072832703,1,1.217123366
4,1.388063387,1.336900353,1.4640485,1.040004552,1.333593623,1.638889396,1.465158747,1.01636093,1.469655577,1,1.070185643,1,1.143633023,1.164167116,1.44789782,1.245482518,1.078809894,1.014537356,1.008869604,1.239288852,1,1.03248429,1.038810571,1.282887131,1.322436133,1.427755595,1.119190691,1.012115759,1.280017328,1.216589957,1.185325224,1.199244142,1.065822514,1.066706425,1.173161803,1.167249327,1,1,1.10155418,1,1.023893783,1.051644135,1.102492519,1.15901611,1.147516796,1.178607103,1.002320497,1.01812258,1.061603104,1.052631153,1.017978948,1.143601779,1.001326506,1.001180986,1,1.19957549,1.357061142,1,1.071401708,1.23585549,1.032468121,1.111477098,1,1.04976239,1.244823709,1.253982186,1.19922564,1.28117764,1.032456663,1.068115436,1.190512212,1.231099047,1.461181418,1.089213467,1.112956239,1.136001456,1.178610623,1,1,1.356816696,1.301171521,1.012572338,1.034668588,1.136668975,1.138040683,1.015504319,1.070339217,1.208663725,1,1.274143265
5,1.264793439,1.48795457,1.277444725,1.254184212,1.037361086,1.129674043,1.02031639,1.084906654,1.465561349,1.095227311,1.083882615,1.24942386,1,1.071502938,1.179200938,1.123450485,1.233107532,1,1.163679594,1.388419557,1.181082565,1.071151346,1.044866993,1.580076803,1.174794217,1.09408285,1.235542655,1.240978947,1,1.496495916,1.155279477,1.035964772,1.094598043,1,1.29664047,1.215834366,1.029199217,1.067152792,1.00290678,1.036674419,1.084733714,1.244183808,1.033525695,1,1.08634339,1.111171844,1.022999936,1.006663088,1.048230486,1.037586949,1.307167929,1.217516322,1.098585663,1.084954696,1.012985555,1,1.180939412,1.206974514,1.157788885,1.114177604,1,1.135875113,1.108861625,1.136779481,1.243262904,1.278475341,1.119372744,1.190487844,1.555574755,1.070457071,1.056345589,1.088148094,1.161110676,1.367165993,1.381573482,1,1.078312145,1.246998727,1,1.096535708,1.11320096,1.016888606,1.268173154,1.011140293,1.206351571,1.023205053,1.20967436,1.104671515,1.094663442,1
6,1.097359066,1.319687419,1.05891668,1.165965032,1.174342903,1,1.290292035,1.186087026,1.153043093,1.420458384,1.135718192,1.093677769,1.126646368,1.236101472,1.201698242,1.056795618,1.05095563,1.202454027,1.056023568,1.072161726,1.050083484,1.169479293,1.30200164,1.293011685,1.196029009,1,1.139297625,1.101601521,1.110766536,1.234567856,1.024035352,1.109160499,1.172614185,1.050567866,1.043142816,1.287702476,1.028075115,1.100076735,1.168292311,1.14080774,1.060701651,1.211006758,1.135249562,1.263631551,1.086722954,1.110430561,1.06007315,1.081158463,1,1.132783507,1.231837848,1.177811886,1.074566759,1.076533967,1.014173739,1.012736679,1.0438014,1.245479562,1.109196731,1,1.041182052,1,1,1.014285684,1.044308114,1.307338207,1.162145996,1.236624601,1,1,1.154898354,1.153469884,1.350327361,1.275047873,1.163439008,1.139321142,1.066537958,1.332269463,1.195724474,1.021453595,1.17067158,1.10478615,1.110790477,1.185180165,1,1.033579824,1.031661384,1.04525193,1.08938311,1
