,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
5,13.29115701,12.92455053,12.0503211,9.992524147,13.10757518,11.52117801,12.54925966,11.70868635,12.93684244,10.85544825,11.86769009,12.54504251,10.49898887,11.32515049,10.76931715,10.67142057,11.84072447,12.19686222,12.94333863,13.08182645,10.85878825,10.1988914,10.94635701,9.744684935,15.2750268,12.56227064,13.0821414,11.11448216,11.2614758,11.4916091,11.55845761,12.52859688,10.85665965,11.7032187,12.33521295,13.45702291,12.74137592,12.44438672,9.529079437,11.27654767,10.44209814,9.843340158,13.85556293,11.15339589,11.67052507,13.93772149,10.63443613,11.14643145,11.54788041,10.69691181,10.69025588,10.61161995,12.21038723,13.40317369,14.98396683,11.17641521,14.16355562,14.20849276,11.68521142,12.46609497,13.12831879,10.4356308,10.91431236,15.17122388,11.26694632,12.33574271,13.01298881,12.60096598,13.06371069,12.67319322,12.93921041,14.62696791,12.48966479,9.728790998,11.78269172,11.27880001,11.09280801,10.06973767,13.63741231,13.14151883,11.32608557,14.00354457,9.764008999,12.94524002,14.65842772,9.882966995,12.94866228,12.55818057,11.54930401,11.50853729
10,22.6295557,21.25163603,23.37252378,26.19314051,23.98775506,22.82544184,26.37055373,21.80384493,23.24349737,25.43373609,20.84807897,22.43397141,22.94676042,23.49350953,23.94574165,25.32356381,23.73341417,23.18874097,24.08454776,24.21554995,22.92838597,22.12371516,22.10222173,22.54000401,24.94526076,25.22326088,22.13965631,23.5729773,22.97497439,24.19036102,24.38794184,26.49456358,22.11865592,22.46683693,21.91859984,23.63722682,25.57313251,23.75824642,24.16406155,20.69007134,25.92775106,23.53523302,23.74573231,22.36995077,22.00457263,23.4528861,23.55958915,21.61174536,22.56444573,22.76502347,22.4957943,21.08111477,21.56275392,22.06710935,26.67194819,24.31038952,24.85822749,25.53983831,24.35649776,25.45791864,24.34695864,24.54973722,21.12791967,26.17805386,18.7531805,25.37511182,22.49384952,22.59345961,23.63455343,26.2237432,23.7357533,24.99843264,26.71744752,21.59387732,22.97783685,24.29111552,19.513201,23.26175284,21.12617683,27.66874552,25.36306643,22.58316326,20.92714787,26.57017446,25.80410528,25.2856369,24.5080843,26.44636822,20.66157055,19.94418573
15,36.93768382,35.42046428,35.84157324,37.47057295,32.67580509,37.40761948,34.36058807,38.38315344,33.67253757,31.84101653,34.12644458,33.28375626,35.49518275,39.67017794,32.20411801,35.19712949,36.06190276,31.27616239,33.08318353,33.48725486,35.41860485,34.05746317,35.83701539,34.56112933,35.86456108,33.0952673,35.78919649,36.05562425,35.317451,36.07383513,31.94751382,35.01552033,38.65948558,36.68462825,35.99115205,32.64733553,35.43763041,34.76092935,35.16537738,34.00795221,35.95922422,39.93849087,33.73394704,33.21236324,30.80055523,31.74941754,35.51887012,33.41517687,31.91921353,33.79705644,36.47740436,32.16392875,34.68669319,36.21129847,36.53271985,40.40702748,36.04045415,35.66285515,34.65203452,37.38848853,40.31034398,35.51659083,34.68015265,34.22778344,36.75385022,38.26913905,32.3030231,38.33562589,33.4761529,30.95282888,32.13646722,37.42554617,35.65601897,35.24436998,33.99076796,34.85704827,35.27340913,34.47270083,34.1203804,33.58137918,35.85480642,36.36065865,34.16591144,33.8373487,34.60139346,31.22904277,35.68280172,37.89682388,34.02014279,35.49448133
20,45.61562657,48.52280259,46.23331285,50.86921787,47.94272947,42.7588222,48.99217057,45.16267347,49.34522533,44.80967069,46.8859396,45.03672147,45.34880376,48.71479368,46.32236314,46.84049749,47.19773746,46.73540664,44.20580482,51.54190063,44.33815765,44.99459386,46.48174047,44.21646333,43.66090941,45.44344616,45.61465645,43.74911976,46.79949355,48.07347512,48.13632035,48.43447447,44.01049542,44.98120594,49.526016,44.13629079,42.29427505,51.47281051,46.89101982,47.35508084,50.69647145,45.50927353,46.66074061,46.03613997,48.58409142,50.79328632,43.93950057,43.42739296,47.20614123,44.92640209,43.63173485,45.28562593,46.00129199,43.21530366,47.12530947,50.31192732,47.10194325,50.95004773,49.20400643,45.83793235,51.62313437,47.30723429,47.67732859,41.93093681,43.28509903,43.11753201,41.78878713,45.98199677,46.86529994,49.92583537,46.58283734,45.49941301,41.73733497,42.10800457,46.59462094,48.33455682,48.38945723,47.16996264,47.59311223,45.53163934,44.77923918,47.1438024,41.33516097,42.78984046,46.64304352,50.03292322,48.68425822,50.36348867,42.27695584,43.51770377
25,56.41003323,54.0526526,57.79215932,60.11866713,56.48882246,57.12845874,60.59723067,58.35258198,59.13687325,62.51005554,55.36416173,55.22021365,59.3614614,57.84339523,54.45277119,64.41273189,55.62920308,56.86553884,60.52646065,63.45651841,55.7325511,59.03679347,58.61632848,54.83364534,54.03245187,52.84487724,58.62116861,60.50152159,55.20640326,56.10148358,51.94717026,60.6041851,54.39045238,55.32393289,61.00455403,55.85655928,53.42160773,58.55034733,54.36440134,60.62870789,54.59454942,56.15794706,55.1351409,56.6534183,55.63530779,55.68607497,55.29942513,53.97213531,56.95541716,54.35494876,53.04286408,60.11064839,56.58616853,57.54214525,58.16501856,51.78480339,57.39219189,56.89327121,60.36362863,60.80854797,59.95073581,55.30399799,58.25837612,53.80217123,62.04230118,56.43832707,59.36568832,58.29375219,60.14179254,56.07893062,56.03799462,55.11575294,56.10631204,53.30930042,55.35422301,61.58402181,56.35277271,56.64135408,61.21406245,54.45774961,60.18325424,60.08233714,65.48844171,59.20919442,57.76157165,61.47521448,57.30703855,57.54240727,62.36278415,61.24500537
30,73.37400436,65.26935911,69.9827311,72.86817336,69.95612144,68.35610247,68.05261397,66.20635414,69.62551689,70.55979276,68.56783867,71.94429994,70.70760512,70.4784162,67.42241955,66.74422979,63.8122406,65.32797527,69.57947946,71.96669984,71.19453931,67.1406498,62.14085627,70.93720579,68.90614986,65.72116685,68.30994439,71.33022928,66.44659543,74.69034624,65.06442356,67.94881582,70.45900965,66.99685884,65.22696209,69.59180355,69.62807703,66.27178001,66.80974627,73.07940936,69.96207023,68.01588774,70.35519934,65.63483381,66.68787551,69.68543839,67.19151115,62.24814439,66.41990829,68.80838132,68.85498142,68.9933238,67.95449281,68.83987856,68.72433686,71.11238694,68.6316781,71.99907374,73.49891758,67.78297329,66.63387942,69.67653322,67.6683948,71.45433974,67.79094076,64.09663939,69.15165353,72.0627327,67.42487741,68.60177255,70.60999775,71.63801861,76.47589612,68.80755854,79.41752243,72.51443315,70.28275776,65.61239004,70.58349323,66.54968739,66.82976913,68.65222526,69.85288453,65.59064507,73.28935671,74.0659318,68.0644424,67.46480536,67.51864886,67.71134686
