,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
5,5.622340441,5.230921507,5.35482645,5.314744473,5.504729271,5.215789318,5.288291216,5.301986933,5.355677128,5.303490639,5.238115072,5.333095789,5.456279755,5.338601351,5.650664091,5.513338804,5.469459295,5.534819841,5.603348017,5.440829039,5.234998941,5.580965281,5.299580336,5.56815815,5.266531706,5.523606539,5.30459547,5.376802683,5.515744209,5.554512501,5.631103516,5.282439947,5.350368977,5.253803253,5.544197798,5.357332468,5.422533989,5.275343418,5.284345627,5.586398602,5.295270681,5.521036863,5.371766806,5.415028095,5.477397203,5.476232767,5.406080246,5.403525829,5.307140589,5.379303217,5.287967682,5.340832949,5.499819756,5.349489927,5.314973593,5.292649269,5.445336342,5.435582399,5.465930939,5.268787384,5.569774389,5.422178984,5.541552067,5.671190977,5.305498838,5.377169371,5.280446053,5.40224576,5.172914505,5.568156242,5.287722349,5.320144415,5.461633921,5.38031435,5.526667833,5.546269655,5.462095261,5.37115097,5.378237724,5.369151115,5.513503313,5.470347643,5.36362195,5.356812,5.370235205,5.453357935,5.399465561,5.5531106,5.322321892,5.457348824
10,8.316410542,8.270028591,8.288233519,8.356068373,8.287772417,8.61585021,8.334505796,8.358243465,8.318475962,8.283581257,8.439789057,8.794209957,8.527263641,8.65251255,8.268950939,8.356877565,8.909415722,8.320356846,8.218952894,8.739259005,8.582328081,8.372677565,8.846867085,8.453231096,8.610448122,8.277273655,8.520144224,8.336914778,8.29671073,8.622648954,8.806641817,8.291747808,8.165755749,8.376021624,8.458778143,8.413479805,8.569535255,8.294062376,8.423207283,8.310562849,8.130479574,8.445720911,8.708963156,8.453344584,8.400117636,8.784104347,8.251627445,8.428533554,8.664934397,8.332780123,8.606747627,8.574139833,8.521899462,8.629108906,8.264616251,8.65320611,8.313668251,8.29854846,8.289508343,8.664078474,8.25478363,8.365682125,8.342306376,8.287531137,8.578906059,8.377083063,8.272921324,8.221746445,8.826594591,8.41207242,8.501146317,8.373237848,8.615241528,8.427954674,8.245956898,8.70670414,8.319839954,8.565706253,8.415556192,8.858472347,8.424759388,8.286295891,8.688967705,8.253827333,8.814198732,8.418766975,8.494840622,8.261275291,8.301905394,8.316089869
15,11.4426043,12.28153539,11.44119048,11.69052434,11.32584453,11.41819239,11.45158291,11.43500185,12.212883,11.49288845,11.48464799,11.57037449,11.64039421,11.49984384,11.52858591,11.78815818,11.83505774,11.75930667,11.22719693,12.01259613,11.75004697,12.0775075,11.31306911,11.88061762,11.22470117,11.75608039,12.068887,11.81658721,11.28053546,11.53100443,11.58212662,11.91366553,11.79384589,11.40399766,11.57075977,11.46645999,11.45071077,12.17405009,11.23322368,12.01505518,11.47926617,11.59666252,11.12695765,11.17146277,11.27018332,11.39803243,11.28024602,11.78313088,11.5035522,11.66984677,11.83705521,11.39514995,11.80815983,11.69811368,11.28162122,11.37062931,11.41820812,11.43656468,11.37252855,11.36431909,11.33484697,11.13545847,11.9822526,11.42812252,11.23837972,11.18400311,11.33056879,11.43558049,11.42206573,11.38999104,11.18404198,11.21360421,11.59979343,11.33907461,11.36508298,11.65275645,11.59312487,11.38486576,11.55216742,11.48677635,11.81940532,11.44718957,11.3518002,11.30961657,11.36599278,12.017488,11.34814572,11.68644857,11.36282468,11.49821162
20,14.10834599,14.73886657,14.80459166,14.85580492,14.87662721,14.92656589,14.72919869,14.45607066,14.35383081,14.75683236,14.81733108,14.28474092,14.48462844,14.17221737,15.29266357,14.90234041,14.6684351,15.03884196,15.15287805,14.48203731,14.38748503,14.9185214,14.33835077,14.37914324,14.0802927,14.85663557,14.58753848,14.90431547,15.31631231,14.52698827,15.04628277,14.46649504,14.53398776,14.49733806,14.56756639,14.25213432,15.15928102,14.71788859,14.17188954,14.37086511,14.35002732,15.46775413,14.4456501,14.61258578,14.44637823,14.88768458,14.90713215,14.46557403,14.39741015,14.84819484,15.07714915,14.4830811,14.73442602,14.3802352,14.58111477,14.4943161,15.13124275,14.46920729,15.3477726,14.29037046,14.22840095,14.32941127,14.41099524,15.09485102,14.45390296,14.80558825,14.6358974,14.63332891,14.51015234,14.10784364,14.0972774,14.39992428,15.01428008,14.8637414,14.74939919,14.87147188,14.69237304,14.43716836,14.64031744,14.65988398,14.71057844,14.86706209,14.18967867,14.55529952,14.22124028,14.78527021,14.54981971,14.11753058,14.41482687,14.32128024
25,18.17493916,18.2270484,18.09925485,17.85236692,17.79559302,17.44796205,17.57837057,17.92321706,17.63665175,17.77207994,18.02352047,17.58391094,18.13824344,17.98029399,17.65706062,17.5143671,17.33876586,18.75128412,17.35968065,18.11046243,17.39038634,18.2329843,17.35821247,17.62111568,17.02585363,17.85890269,18.13449693,17.48120666,17.47228169,19.00562668,17.29762721,17.38225651,17.47922134,18.57198501,17.57619762,17.91326332,17.37844396,17.29652071,17.19273376,17.58540511,17.85462403,17.70262527,18.27559185,17.00386095,18.60185218,17.45295382,18.14716911,17.5635581,17.58725095,17.90745497,17.62281871,17.9878943,17.28015518,17.34664631,17.54907393,17.4922564,18.21718407,18.37682104,17.42552495,17.96419787,17.47456193,17.40204072,18.68366671,18.15530658,18.32034278,17.92361164,17.86040831,17.62866282,17.86525321,17.08335805,17.05818009,17.18689871,17.89782763,17.9946084,17.8272121,17.56854081,18.11304379,18.05634737,17.16057253,18.17067599,17.82289672,17.96234775,18.03102303,17.31243491,18.44630051,17.17204976,18.06900454,18.78985929,17.89191341,17.21912837
30,20.28572249,20.67167664,20.45519471,20.57312799,21.00035214,21.23604774,21.34331632,20.71832681,21.27773666,21.16866708,20.6239388,21.34436846,21.13124037,20.57816696,21.0519557,20.6934514,20.59732747,21.03871274,21.21178269,20.23162985,20.39539266,20.52381325,20.1510818,20.15989733,20.35358405,20.95587063,20.10283017,21.47798419,20.64668751,20.66920209,21.86197948,20.52748013,22.4334743,20.69964886,21.20530343,20.4358511,21.44434118,20.28933501,21.13249111,21.24952769,20.29566908,20.8476119,20.20137191,19.98488736,20.76780105,21.17460966,21.07225633,21.17790222,20.55811,20.66239238,20.11992073,20.94115376,20.20314264,20.44172525,20.70585656,20.85954523,21.41945314,20.47556472,21.30600476,20.68348718,21.3738277,20.67284369,21.2298255,20.86120057,20.09988403,20.71383834,20.22943401,21.07535815,20.26563168,21.91358757,20.46572185,20.71568942,22.51675105,21.56132007,21.38070869,20.68064499,21.19337988,20.65353894,21.45878696,20.64717698,21.7216301,22.11984015,21.1211381,21.02236557,20.50191832,20.81562066,21.85776854,20.84027433,21.22250843,20.75673485
